step,dt,t_determine_timestep,t_determine_collisions,t_perform_collisions,t_collect_output
1,4.725589705024045e-15,0.00013166700955480337,0.03700104099698365,0.0017025420092977583,0.0014707919908687472
2,4.150791519596722e-15,0.00015583299682475626,0.014481583988526836,0.0010202499979641289,0.0026830410060938448
3,7.200531958014444e-15,0.000562124972930178,0.021929083013674244,0.0009386249876115471,0.0005415000196080655
4,4.709529378741297e-15,8.416699711233377e-05,0.017328457994153723,0.0007724589959252626,0.00031379100983031094
5,4.618497425400328e-15,9.658298222348094e-05,0.020452500000828877,0.0005560000136028975,0.0006339999963529408
6,2.8617998584739136e-15,9.533300180919468e-05,0.01113241701386869,0.0007846659864298999,0.0002662499900907278
7,3.162309348676341e-15,8.837500354275107e-05,0.01984358299523592,0.0010187919833697379,0.00027579101151786745
8,3.4022689162196726e-15,8.520798292011023e-05,0.016005334007786587,0.0007522499945480376,0.00042550000944174826
9,5.3201761948466e-15,9.31659888010472e-05,0.01210587500827387,0.0006095420103520155,0.0003545419895090163
10,5.395766372181476e-15,8.420899393968284e-05,0.02104341599624604,0.0005261670157779008,0.0002882919798139483
11,5.144953255821447e-15,0.00016120800864882767,0.012835750007070601,0.0007755419937893748,0.000599374994635582
12,6.0493882259512264e-15,0.0005120829737279564,0.015637542004697025,0.0006062909960746765,0.00030987500213086605
13,4.434293025883561e-15,0.0007283750164788216,0.014770999987376854,0.0011004999978467822,0.0019171250169165432
14,3.85755084351339e-15,0.00017124999430961907,0.02735812502214685,0.001129624986788258,0.0010978750069625676
15,4.6477868483758596e-15,0.00011125000310130417,0.016389124997658655,0.0006136249867267907,0.00028741700225509703
16,6.669436938778664e-15,0.00013574998592957854,0.015160999988438562,0.0005217500147409737,0.0005267910019028932
17,3.2847972742458712e-15,8.270799298770726e-05,0.016993625002214685,0.0006421669968403876,0.00022329099010676146
18,2.040832884628776e-15,7.72500061430037e-05,0.018281708005815744,0.0007541249797213823,0.00026558301760815084
19,4.501331498901581e-15,8.916700608097017e-05,0.01276770798722282,0.0005706250085495412,0.00037695799255743623
20,2.0788201432869263e-15,7.845801883377135e-05,0.017694624984869733,0.0005841250240337104,0.0005640839808620512
21,3.966935992725033e-15,0.000260957982391119,0.01803995799855329,0.0008775000169407576,0.0005132919759489596
22,5.375483168780578e-15,9.958399459719658e-05,0.01676441598101519,0.0008320000197272748,0.0008455839997623116
23,3.178213561852306e-15,0.00037549997796304524,0.016659875022014603,0.005786416993942112,0.00043391698272898793
24,4.5322624528491096e-15,8.937501115724444e-05,0.016207332984777167,0.0009274170151911676,0.0004209999751765281
25,1.4043971189569504e-14,0.00019537500338628888,0.02153916598763317,0.001003709010547027,0.0004591250035446137
26,4.34687731458242e-15,0.00016500000492669642,0.01377804100047797,0.0005362920055631548,0.0003757920057978481
27,4.43756247176014e-15,8.445899584330618e-05,0.01594350000959821,0.0005199580045882612,0.0002716669987421483
28,1.7273777521155755e-15,8.45409813337028e-05,0.014520084019750357,0.0005781250074505806,0.0002549579949118197
29,6.4898321402931435e-15,8.295901352539659e-05,0.013691582978935912,0.000590375013416633,0.0004981670062988997
30,4.453681071046396e-15,7.670800550840795e-05,0.013693083019461483,0.0008621249871794134,0.0008580420108046383
31,3.717074226076105e-15,0.00026245799381285906,0.018767749977996573,0.0008440420206170529,0.000689499982399866
32,5.432985388470532e-15,0.00021858297986909747,0.014405167021322995,0.0007000829791650176,0.0003675420011859387
33,3.647264465735175e-15,0.00035012498847208917,0.017226124997250736,0.001507541019236669,0.0009866250038612634
34,5.775882147698614e-15,0.00017491698963567615,0.01811312499921769,0.0009267079876735806,0.0006745420105289668
35,3.2569368414693377e-15,0.00026795800658874214,0.01465524997911416,0.0006197920010890812,0.00047154101775959134
