step,dt,t_determine_timestep,t_determine_collisions,t_perform_collisions,t_collect_output
1,2.4671451806616562e-15,0.00025962499785237014,0.03904629099997692,0.0015759170055389404,0.0004167500010225922
2,1.5223276430467895e-15,0.00010616600047796965,0.018403083988232538,0.002291207987582311,0.000518708024173975
3,8.95272632981816e-15,0.00021545900381170213,0.01315637500374578,0.0020972499914932996,0.002615291014080867
4,1.5897782380602544e-14,0.0009205840178765357,0.013155541004380211,0.0006294999911915511,0.0013245420122984797
5,1.2445926609495219e-14,0.0001313330139964819,0.018091208999976516,0.000681208010064438,0.00044212499051354825
6,9.118273710270835e-15,9.74999857135117e-05,0.015509541990468279,0.0011085830046795309,0.0007955000037327409
7,8.833997632711883e-15,0.00011395799810998142,0.019467250007437542,0.002890584000851959,0.001730082993162796
8,9.401751155662947e-15,0.00028987499536015093,0.015306124987546355,0.002281459019286558,0.0007242499850690365
9,1.0564792660653155e-14,0.0002143329766113311,0.014849375002086163,0.0006118750025052577,0.0007050000131130219
10,1.1855728090023123e-14,0.0001465829845983535,0.015480625006603077,0.0013620840036310256,0.0004522909875959158
11,1.8136532578951044e-14,8.2874990766868e-05,0.01677229200140573,0.0005199580045882612,0.00048283301293849945
12,1.0050913974400667e-14,7.183299749158323e-05,0.014929042023140937,0.0005494999932125211,0.00048558300477452576
13,1.1728978220699341e-15,0.0002589999930933118,0.012361166998744011,0.0010849160025827587,0.0006466250051744282
14,1.7380886756178012e-14,0.00013766699703410268,0.015696916001616046,0.0006950839888304472,0.0002165829937439412
15,1.1052639645507726e-14,8.04169976618141e-05,0.012691582989646122,0.0011787920084316283,0.0038206659955903888
16,9.711938205472858e-15,0.00016695799422450364,0.015242416993714869,0.0006552080158144236,0.0005450419848784804
17,6.853132457579424e-15,9.3416019808501e-05,0.015879666985711083,0.0006759999960195273,0.0004074170137755573
18,1.8334982166033276e-14,8.124997839331627e-05,0.014130834024399519,0.0005477909871842712,0.0003124169888906181
19,1.1379357052932267e-14,8.03329749032855e-05,0.013324500003363937,0.001313917018705979,0.0003219159843865782
20,1.5962979365746598e-14,0.00010362500324845314,0.013572916999692097,0.0007760000007692724,0.0005011250032112002
21,9.322712660259457e-15,0.0001568750012665987,0.012832459004130214,0.0006650830036960542,0.0004479579802136868
22,8.901500092487548e-15,8.087500464171171e-05,0.014525832986691967,0.0006153750000521541,0.0004617920203600079
23,2.7654482014288077e-15,0.00010520798969082534,0.013589833019068465,0.0006234589964151382,0.0008096249948721379
24,1.6504785095171224e-14,0.00018041700241155922,0.012643124995520338,0.0006908750219736248,0.0008474159985780716
25,6.894761101833828e-15,0.00020254100672900677,0.01612558399210684,0.0008528750040568411,0.0006102909974288195
26,7.881570574831787e-15,8.979201084002852e-05,0.011993416002951562,0.0006967090012039989,0.0005074159998912364
27,1.5596889288977214e-14,0.0001170830219052732,0.01368833298329264,0.0021840000117663294,0.00033083398011513054
28,1.0487403686068516e-14,8.966602035798132e-05,0.01489245900302194,0.0006832910003140569,0.0003662089875433594
29,1.1123720419338707e-14,0.0004947499837726355,0.01209541701246053,0.0009295420022681355,0.0014425409899558872
30,8.41430540008173e-15,8.870800957083702e-05,0.01620895799715072,0.0007974589825607836,0.00035945800482295454
31,8.932001865593925e-15,0.00011654099216684699,0.020424500020453706,0.0019155839981976897,0.0015749160083942115
32,1.5483907965943556e-14,0.0011387080012355,0.01836245899903588,0.005211832991335541,0.0017762499919626862
33,4.2303080769715546e-15,0.00014325001393444836,0.011428958008764312,0.001641791983274743,0.0008179580036085099
34,1.2898115277544788e-14,0.00023908299044705927,0.01223879199824296,0.0029255830158945173,0.0019301249994896352
35,9.074962803114158e-15,0.0001002080098260194,0.01828445799765177,0.0008147089974954724,0.002065416018012911
36,7.499758301489042e-15,0.0003643750096671283,0.01375916600227356,0.001254125003470108,0.0013346670020837337
37,4.158691826593752e-15,0.0005029999883845448,0.013989416998811066,0.0009263330139219761,0.0004480829811654985
38,6.768325335558404e-15,0.00021733398898504674,0.016237833013292402,0.0015314169868361205,0.0006813330110162497
39,5.38839795179446e-15,0.0003137909807264805,0.02012458399985917,0.0031269580067601055,0.0013668329920619726
40,4.452897338833138e-16,0.00026679100119508803,0.01900783399469219,0.0013140829978510737,0.0013452920247800648
41,9.721946989179509e-15,0.00023429200518876314,0.022024333011358976,0.0007570419984403998,0.0004461249918676913
42,9.17211214996278e-15,0.00011066699516959488,0.02039925000281073,0.0009073329856619239,0.00034579201019369066
43,7.245187253003751e-15,9.191699791699648e-05,0.017059040983440354,0.0017097500094678253,0.0004106250125914812
44,8.785483456085448e-15,0.0002648330118972808,0.014337708009406924,0.0011925419967155904,0.000825249997433275
45,6.817206596678087e-15,9.662500815466046e-05,0.012305999989621341,0.0009729170124046504,0.0003817079996224493
46,6.010869352600528e-15,9.300000965595245e-05,0.011869999987538904,0.001209375011967495,0.002682708000065759
47,5.262375471999088e-15,0.0003278330259490758,0.017559208994498476,0.0015768329903949052,0.000770207989262417
48,1.913326475239586e-14,0.0001285419857595116,0.013704000011784956,0.0009582499915268272,0.0006730419991072267
49,1.3416163921963179e-14,0.0005717499880120158,0.02278641701559536,0.001000832999125123,0.001010624982882291
50,9.26168140408444e-15,0.00019687501480802894,0.01752533297985792,0.0007247500179801136,0.002961624995805323
51,1.250768075643348e-14,0.000530249992152676,0.018461583007592708,0.0017548750038258731,0.0013477919856086373
52,4.986743631138746e-15,0.00015191698912531137,0.013876333017833531,0.003657374996691942,0.0027927499904762954
53,3.5313228869068297e-15,0.00022587500279769301,0.016670541983330622,0.0007477499893866479,0.0003775420191232115
54,8.834175240886047e-15,8.970798808149993e-05,0.015918792021693662,0.0009215409809257835,0.00042275001760572195
55,7.105693291725535e-16,0.00011537497630342841,0.012082375003956258,0.0010718750127125531,0.000853459001518786
56,2.570052800312191e-15,0.0001077920023817569,0.015288292022887617,0.0008343329827766865,0.0006665830151177943
57,2.9218489631899564e-15,0.00012504198821261525,0.01316533301724121,0.0006153339927550405,0.0008152500085998327
58,2.7928675634000773e-15,0.00017916600336320698,0.05345954198855907,0.0035395000013522804,0.005105917021865025
59,2.7875189096305668e-15,0.00013283302541822195,0.012650791992200539,0.0016600829840172082,0.0017249580123461783
60,9.197396715811642e-15,0.00011462499969638884,0.018087665986968204,0.0006132090056780726,0.0004674159863498062
61,1.474580044533913e-14,0.000259166001342237,0.013548624992836267,0.001403292000759393,0.001349792000837624
62,4.504604903270189e-15,9.225000394508243e-05,0.014112083008512855,0.002439207979477942,0.0010005420190282166
63,1.9349193853583487e-15,0.0005401669768616557,0.013788416021270677,0.001037291978718713,0.0007475420134142041
64,1.3725312220731296e-14,0.00014904100680723786,0.017086084000766277,0.000578415987547487,0.000331209012074396
65,3.968652463205846e-15,0.0003108340024482459,0.011372040986316279,0.0018614169966895133,0.0008861670212354511
66,1.6173358633318719e-15,9.433299419470131e-05,0.01870474999304861,0.0009689170110505074,0.0005367920093704015
67,1.2396192110319043e-14,0.00010095798643305898,0.013256334001198411,0.000621832994511351,0.001334875007160008
68,1.3853335515715325e-14,0.00023837501066736877,0.015566415997454897,0.0006441669829655439,0.0005262500199023634
69,1.6377732377900423e-15,0.00014266697689890862,0.014189208013704047,0.000763332995120436,0.0004936250043101609
70,4.7445850261639005e-15,0.0003933749976567924,0.013389541010838002,0.0008464999846182764,0.0005648749938700348
71,3.0175668079986075e-15,8.391699520871043e-05,0.014811583008849993,0.0022688329918310046,0.0015092089888639748
72,7.195307507696573e-15,0.00033395798527635634,0.013972457993077114,0.0006817500106990337,0.000868667004397139
