% COMSOL Interpolation (Spreadsheet) | args: eps_eV, epsbar_eV | col: f (EEDF)
% Source mode: stacked_csv
% Normalization: none
% Source: outputs/ar_cl2_en_scan_jit2/eedf_table.csv
% Column map: 1=eps_eV, 2=epsbar_eV, 3=f_eV_m32
2.62745392e-03,2.61074118e+00,9.51491473e-03
7.88236176e-03,2.61074118e+00,1.95584358e-02
1.31372696e-02,2.61074118e+00,1.79726167e-02
1.83921774e-02,2.61074118e+00,2.43158932e-02
2.36470853e-02,2.61074118e+00,3.64738398e-02
2.89019931e-02,2.61074118e+00,3.70024462e-02
3.41569009e-02,2.61074118e+00,4.38743291e-02
3.94118088e-02,2.61074118e+00,4.49315418e-02
4.46667166e-02,2.61074118e+00,4.81031800e-02
4.99216244e-02,2.61074118e+00,5.07462119e-02
5.51765323e-02,2.61074118e+00,6.39613713e-02
6.04314401e-02,2.61074118e+00,6.50185840e-02
6.56863480e-02,2.61074118e+00,7.13618605e-02
7.09412558e-02,2.61074118e+00,7.45334987e-02
7.61961636e-02,2.61074118e+00,6.66044031e-02
8.14510715e-02,2.61074118e+00,6.29041585e-02
8.67059793e-02,2.61074118e+00,8.03481689e-02
9.19608871e-02,2.61074118e+00,6.02611266e-02
9.72157950e-02,2.61074118e+00,6.18469458e-02
1.02470703e-01,2.61074118e+00,6.23755521e-02
1.07725611e-01,2.61074118e+00,6.44899776e-02
1.12980518e-01,2.61074118e+00,7.87623497e-02
1.18235426e-01,2.61074118e+00,7.82337434e-02
1.23490334e-01,2.61074118e+00,8.51056262e-02
1.28745242e-01,2.61074118e+00,6.55471904e-02
1.34000150e-01,2.61074118e+00,7.92909561e-02
1.39255058e-01,2.61074118e+00,9.14489027e-02
1.44509966e-01,2.61074118e+00,6.97760414e-02
1.49764873e-01,2.61074118e+00,8.88058708e-02
1.55019781e-01,2.61074118e+00,8.56342326e-02
1.60274689e-01,2.61074118e+00,8.61628390e-02
1.65529597e-01,2.61074118e+00,8.29912007e-02
1.70784505e-01,2.61074118e+00,8.98630836e-02
1.76039413e-01,2.61074118e+00,8.88058708e-02
1.81294320e-01,2.61074118e+00,1.00435211e-01
1.86549228e-01,2.61074118e+00,7.98195625e-02
1.91804136e-01,2.61074118e+00,9.30347218e-02
1.97059044e-01,2.61074118e+00,1.03078243e-01
2.02313952e-01,2.61074118e+00,1.11007339e-01
2.07568860e-01,2.61074118e+00,8.66914454e-02
2.12823767e-01,2.61074118e+00,1.07307094e-01
2.18078675e-01,2.61074118e+00,9.93779983e-02
2.23333583e-01,2.61074118e+00,1.07835700e-01
2.28588491e-01,2.61074118e+00,1.04664062e-01
2.33843399e-01,2.61074118e+00,1.07307094e-01
2.39098307e-01,2.61074118e+00,9.62063601e-02
2.44353214e-01,2.61074118e+00,9.35633282e-02
2.49608122e-01,2.61074118e+00,9.25061155e-02
2.54863030e-01,2.61074118e+00,1.05192668e-01
2.60117938e-01,2.61074118e+00,1.00963817e-01
2.65372846e-01,2.61074118e+00,1.13121764e-01
2.70627754e-01,2.61074118e+00,9.77921792e-02
2.75882661e-01,2.61074118e+00,1.11535945e-01
2.81137569e-01,2.61074118e+00,1.15764796e-01
2.86392477e-01,2.61074118e+00,1.11535945e-01
2.91647385e-01,2.61074118e+00,1.15236190e-01
2.96902293e-01,2.61074118e+00,1.23693892e-01
3.02157201e-01,2.61074118e+00,1.13650370e-01
3.07412108e-01,2.61074118e+00,1.22636679e-01
3.12667016e-01,2.61074118e+00,1.25279711e-01
3.17921924e-01,2.61074118e+00,1.07835700e-01
3.23176832e-01,2.61074118e+00,1.26865530e-01
3.28431740e-01,2.61074118e+00,1.03606849e-01
3.33686648e-01,2.61074118e+00,1.12064551e-01
3.38941555e-01,2.61074118e+00,1.17350615e-01
3.44196463e-01,2.61074118e+00,1.11007339e-01
3.49451371e-01,2.61074118e+00,1.13650370e-01
3.54706279e-01,2.61074118e+00,1.08892913e-01
3.59961187e-01,2.61074118e+00,1.24222498e-01
3.65216095e-01,2.61074118e+00,1.23165285e-01
3.70471002e-01,2.61074118e+00,1.25808317e-01
3.75725910e-01,2.61074118e+00,1.21050860e-01
3.80980818e-01,2.61074118e+00,1.29508562e-01
3.86235726e-01,2.61074118e+00,1.23693892e-01
3.91490634e-01,2.61074118e+00,1.21050860e-01
3.96745542e-01,2.61074118e+00,1.24751104e-01
4.02000450e-01,2.61074118e+00,1.37966264e-01
4.07255357e-01,2.61074118e+00,1.30037168e-01
4.12510265e-01,2.61074118e+00,1.30565774e-01
4.17765173e-01,2.61074118e+00,1.30037168e-01
4.23020081e-01,2.61074118e+00,1.30037168e-01
4.28274989e-01,2.61074118e+00,1.30037168e-01
4.33529897e-01,2.61074118e+00,1.34266019e-01
4.38784804e-01,2.61074118e+00,1.43780934e-01
4.44039712e-01,2.61074118e+00,1.30565774e-01
4.49294620e-01,2.61074118e+00,1.36909051e-01
4.54549528e-01,2.61074118e+00,1.39552083e-01
4.59804436e-01,2.61074118e+00,1.32680200e-01
4.65059344e-01,2.61074118e+00,1.47481178e-01
4.70314251e-01,2.61074118e+00,1.27922743e-01
4.75569159e-01,2.61074118e+00,1.46423966e-01
4.80824067e-01,2.61074118e+00,1.37966264e-01
4.86078975e-01,2.61074118e+00,1.54353061e-01
4.91333883e-01,2.61074118e+00,1.17879221e-01
4.96588791e-01,2.61074118e+00,1.31094381e-01
5.01843698e-01,2.61074118e+00,1.60167731e-01
5.07098606e-01,2.61074118e+00,1.56996093e-01
5.12353514e-01,2.61074118e+00,1.48009785e-01
5.17608422e-01,2.61074118e+00,1.65982401e-01
5.22863330e-01,2.61074118e+00,1.52767242e-01
5.28118238e-01,2.61074118e+00,1.51710029e-01
5.33373145e-01,2.61074118e+00,1.46423966e-01
5.38628053e-01,2.61074118e+00,1.48538391e-01
