time,num_collisions,num_null_collisions,num_electrons,num_cations,num_anions,mean_energy,mean_position_x,mean_position_y,mean_position_z,var_position_x,var_position_y,var_position_z,mean_velocity_x,mean_velocity_y,mean_velocity_z,mean_velocity_moment_x,mean_velocity_moment_y,mean_velocity_moment_z
0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0916778168997923e-14,0.0,10000.0,10000.0,0.0,0.0,0.0015272541243960063,0.0,0.0,1.265161127755933e-10,0.0,0.0,0.0,0.0,0.0,23178.28773600637,0.0,0.0,2.9324268651537323e-06
1.4231876168922502e-14,539.0,9461.0,10000.0,0.0,0.0,0.0025446036218710055,-4.714011548350401e-14,3.4389263183384645e-14,2.1079237830325805e-10,1.079302277934406e-22,1.0067399922789893e-22,4.2336795167684243e-22,-14.219825623428466,10.373528379603565,28941.228285028483,3.255784594795808e-08,3.036868950830765e-08,6.2282993717470234e-06
2.865111606934896e-14,659.0,9341.0,10000.0,0.0,0.0,0.009897770405860293,-1.1101043571861915e-12,-1.7505019684760334e-13,8.199211528732621e-10,7.115687452725943e-21,6.852174134324706e-21,2.7109367463176996e-20,-73.71846567801741,-14.525000033101163,57551.48938137789,4.544763817843227e-07,4.386199919932023e-07,4.8919175651713095e-05
3.148504533094095e-14,1304.0,8696.0,10000.0,0.0,0.0,0.011709251753093453,-2.14087169547971e-12,-4.712549446392005e-13,9.699840765206444e-10,1.0966613497293583e-20,1.0632632691972544e-20,4.019259038994048e-20,-363.7237358968076,-104.5208685361474,55960.71880697912,9.403869457224575e-07,9.322551867166231e-07,5.746269602274062e-05
4.492711895551076e-14,337.0,9663.0,10000.0,0.0,0.0,0.02277831175922064,-6.0817144600564476e-12,-9.43135237737219e-13,1.8869338183028076e-09,7.62731636107486e-20,7.634648388244029e-20,2.5874417594511186e-19,-293.17223477883283,-35.104724633817014,82484.87508497942,3.94630973821444e-06,3.977148695072398e-06,0.0001688488037932076
5.648790129219007e-14,1851.0,8149.0,10000.0,0.0,0.0,0.03380970364164985,-1.3564324012390479e-11,-3.904905065354609e-12,2.8007682396651735e-09,2.492914826930643e-19,2.4849330820384797e-19,7.847543018698306e-19,-647.240760566323,-256.19112455914643,91318.88332760899,1.1542988580930357e-05,1.1502086526091313e-05,0.0002909458949442117
7.09363161526007e-14,256.0,9744.0,10000.0,0.0,0.0,0.05200720594974191,-2.2619254946201538e-11,-7.853324668269431e-12,4.30823111727067e-09,7.398934566801471e-19,7.387393934078283e-19,2.2822344449889375e-18,-626.7075676669566,-273.277009350949,119672.43025696136,2.261615517855399e-05,2.2697734827427056e-05,0.0005847403834432942
7.909363126561727e-14,296.0,9704.0,10000.0,0.0,0.0,0.06434346027730693,-2.748063929846658e-11,-9.629607155694424e-12,5.33015512852244e-09,1.1515221269433505e-18,1.1555819591313746e-18,3.593208561555636e-18,-595.9539732022569,-217.75332481524333,133936.73076511716,2.8903853144152025e-05,2.930040084935407e-05,0.0008060006754132985
8.522822398197291e-14,1040.0,8960.0,10000.0,0.0,0.0,0.07383853319605643,-2.6979966885695527e-11,-1.3963287834156645e-11,6.11729614881621e-09,1.5099090046360263e-18,1.5275745522007018e-18,4.857505106481126e-18,81.61461337705384,-706.4333165766744,134824.28604827303,3.375778299112851e-05,3.485315787392521e-05,0.0009426444332411375
1.0289933572543036e-13,1052.0,8948.0,10000.0,0.0,0.0,0.10378725348824352,-3.123013783670088e-11,-2.320811793487205e-11,8.599940622556046e-09,3.2196262932299764e-18,3.270996851732066e-18,1.085296025769626e-17,-240.51519863083539,-523.1606383870106,159251.17450281387,6.742119481177751e-05,6.833450558055634e-05,0.0015996534364548923
1.1375075387659272e-13,1188.0,8812.0,10000.0,0.0,0.0,0.12371167139147542,-2.3035810767080597e-11,-3.056424955107315e-11,1.026018992461153e-08,4.925460075101505e-18,5.013587744214146e-18,1.643264932242148e-17,755.1388173851303,-677.8958762558738,164518.12949266593,9.696845573294607e-05,9.834685831841543e-05,0.0019979162833251114
