run_label,sweep_param,sweep_value,E/N (Td),mean energy (eV),energy (eV),eedf (eV-1)
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0025386094887886,0.0043484281799594
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0076158284663659,0.012277914861062
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0126930474439432,0.0168821329339602
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0177702664215205,0.0271137286515119
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0228474853990978,0.0253231994009404
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0279247043766751,0.0268579387585731
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0330019233542524,0.0335084759749818
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0380791423318297,0.0414379626560843
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.043156361309407,0.0439958615854722
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0482335802869843,0.0429727020137171
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0533107992645616,0.0447632312642886
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0583880182421389,0.0414379626560843
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0634652372197162,0.0445074413713498
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0685424561972935,0.0432284919066559
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0736196751748708,0.0470653403007377
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0786968941524481,0.0506463988018808
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0837741131300254,0.0595990450547386
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0888513321076027,0.0672727418429023
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.09392855108518,0.0567853562324119
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.0990057700627573,0.0580643056971058
Ar_Cl2_EN_60.0,EN,60.0,60.0,2.6947865291579083,0.1040829890403347,0.0636916833417593
