time,num_collisions,num_null_collisions,num_electrons,num_cations,num_anions,mean_energy,mean_position_x,mean_position_y,mean_position_z,var_position_x,var_position_y,var_position_z,mean_velocity_x,mean_velocity_y,mean_velocity_z,mean_velocity_moment_x,mean_velocity_moment_y,mean_velocity_moment_z
0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.736590343337168e-15,0.0,10000.0,10000.0,0.0,0.0,0.015144291646649774,0.0,0.0,1.3636272468036107e-10,0.0,0.0,6.681911775230489e-52,0.0,0.0,72987.78412972877,0.0,0.0,9.95281311231183e-06
5.408841625102131e-15,197.0,9803.0,10000.0,0.0,0.0,0.03145123842286119,-3.308437522293297e-14,-9.668388183130006e-15,2.831943109887136e-10,1.1289327831454974e-22,9.021202204605047e-23,4.0902927799026254e-22,-19.784332404884964,-5.781659902766291,104136.99645247695,6.751041193479023e-08,5.394650702768003e-08,2.9735602934259396e-05
8.169183883938669e-15,121.0,9879.0,10000.0,0.0,0.0,0.07127098042340424,-3.66108699308608e-13,-1.2471116330568585e-13,6.417405824688014e-10,1.1032132380597364e-21,9.710928383433877e-22,4.102602079019286e-21,-120.64602605694344,-41.676996667451455,156851.20097939426,2.9252243884227466e-07,2.652564373189235e-07,0.00010175430249347443
9.29213825959514e-15,181.0,9819.0,10000.0,0.0,0.0,0.09188164117792805,-5.027459640237104e-13,-2.1227394034717555e-13,8.273860609766109e-10,2.0262372213204855e-21,1.8094189913175593e-21,7.524665369706139e-21,-121.6765949509082,-77.97536475184141,176286.28662844616,5.44517852357371e-07,4.942800624168415e-07,0.00014782438500144518
1.1447868731228968e-14,78.0,9922.0,10000.0,0.0,0.0,0.13879668370795042,-4.978250476619564e-13,-1.8095368674121901e-13,1.2498201161346516e-09,5.936943911931346e-21,5.25453151608677e-21,2.1080610151247636e-20,2.2827141085148672,14.528835593356268,217012.88028933477,1.2699314185440414e-06,1.1068357591929778e-06,0.00027556428780292587
1.2877896342412587e-14,241.0,9759.0,10000.0,0.0,0.0,0.17460472240476957,-8.297272905871429e-13,-2.8854720058952064e-13,1.5723687630028895e-09,1.0979695568171348e-20,9.650142930797618e-21,3.859935167058094e-20,-232.09498916631026,-75.23876672510366,239520.68850973816,2.2923446297485934e-06,2.0026196954555124e-06,0.000384640880445899
1.7211469539972744e-14,53.0,9947.0,10000.0,0.0,0.0,0.30957577845871137,-2.4032009316365083e-12,-6.715550834970934e-13,2.7879281943765956e-09,4.651096062916922e-20,4.1584636903328656e-20,1.6525698473961535e-19,-363.0892036011404,-88.38154230859881,322822.5906311125,5.905230697249562e-06,5.370134084304764e-06,0.0009212765524537644
1.906170976269647e-14,32.0,9968.0,10000.0,0.0,0.0,0.3793443694943061,-3.1255670014621785e-12,-8.270748066540368e-13,3.416637961162043e-09,7.163988046349455e-20,6.428136769320469e-20,2.5599114353753223e-19,-390.41745009860375,-84.05380082376712,357869.60428309615,7.698040422958268e-06,6.921453693479966e-06,0.0012505032649949318
2.1292956219350974e-14,40.0,9960.0,10000.0,0.0,0.0,0.47294927126493597,-3.683419275326106e-12,-1.3402543581926958e-12,4.2605967061099114e-09,1.115660438991066e-19,9.974259228365374e-20,4.0062186812521927e-19,-250.01822286380758,-229.99680291172825,400037.1729593635,1.0243015676072694e-05,9.038666114994847e-06,0.0017414898055440285
2.1587505179174704e-14,650.0,9350.0,10000.0,0.0,0.0,0.4840683523267944,-3.6262387793577226e-12,-1.5191031795862006e-12,4.3716535767646825e-09,1.1767616776913982e-19,1.0514470229991588e-19,4.223418038178239e-19,194.12900321427415,-607.1955626682121,379917.1946631246,1.1039221419061534e-05,9.827238383177477e-06,0.0017002324337743928
2.3170766999097074e-14,693.0,9307.0,10000.0,0.0,0.0,0.5474057332233082,-2.161956365321091e-12,-4.078480384749376e-12,4.955567676985157e-09,1.7081413197656704e-19,1.542307542103473e-19,6.092345757155435e-19,924.8517178974399,-1616.5217735678502,384267.6413283631,2.3179474920645348e-05,2.1828243841263308e-05,0.0019861036639210227
2.53228404497301e-14,73.0,9927.0,10000.0,0.0,0.0,0.643418016702676,1.5120196453143075e-14,-7.160018881571843e-12,5.821017040727402e-09,3.0977248657692563e-19,2.861624891085349e-19,1.0989568136334281e-18,1011.6181495263811,-1431.8928082663929,423165.2624405659,4.14813138759705e-05,3.9666449779147476e-05,0.002609683703229799
2.971137585047173e-14,62.0,9938.0,10000.0,0.0,0.0,0.8691584277377739,4.2548901238565516e-12,-1.5994700103632276e-11,7.854382229763935e-09,8.413667394409636e-19,8.016921955533792e-19,2.9901541163345274e-18,966.101339113481,-2013.1274822500993,506196.9129518786,8.023714439975524e-05,7.799912518960975e-05,0.0042610491232864455
3.234379987678429e-14,91.0,9909.0,10000.0,0.0,0.0,1.0231458970374305,6.971775477337491e-12,-1.9725580780381975e-11,9.24154357195086e-09,1.3303262884161685e-18,1.2780402370714779e-18,4.714311379874411e-18,1032.0850008676957,-1417.2795261923789,552661.9990643387,0.00010568737315291951,0.0001033636050232828,0.005480959222063829
3.4204085525942904e-14,159.0,9841.0,10000.0,0.0,0.0,1.1390010756194304,9.495345223939479e-12,-2.2242802840360683e-11,1.0284919696850477e-08,1.759226707183755e-18,1.6993179597270224e-18,6.218991435735971e-18,1356.549596425346,-1353.137385711285,579037.4905381443,0.00012626860984738217,0.00012398497313704992,0.006398877504274337
