E/N (Td),mean energy (eV),mean energy error (eV),bulk drift velocity (m.s-1),bulk drift velocity error (m.s-1),bulk L diffusion coeff. * N (m-1.s-1),bulk L diffusion coeff. error * N (m-1.s-1),bulk T diffusion coeff. * N (m-1.s-1),bulk T diffusion coeff. error * N (m-1.s-1),flux drift velocity (m.s-1),flux drift velocity error (m.s-1),flux L diffusion coeff. * N (m-1.s-1),flux L diffusion coeff. error * N (m-1.s-1),flux T diffusion coeff. * N (m-1.s-1),flux T diffusion coeff. error * N (m-1.s-1),effective ionization rate coeff. (counted) (m3.s-1),effective ionization rate coeff. (counted) error (m3.s-1),ionization rate coeff. (counted) (m3.s-1),ionization rate coeff. (counted) error (m3.s-1),attachment rate coeff. (counted) (m3.s-1),attachment rate coeff. (counted) error (m3.s-1),effective ionization rate coeff. (convolution) (m3.s-1),ionization rate coeff. (convolution) (m3.s-1),attachment rate coeff. (convolution) (m3.s-1),run_label,sweep_param,sweep_value,run_time (s)
50.0,2.518240922681325,0.0022011854761801765,50796.89592265643,1198.3788141777486,1.1806534194294517e+24,3.683427146772316e+22,3.034471498589004e+24,3.440089731610212e+22,54524.18890089973,1993.708586634327,1.2865713925358615e+24,6.424822488905574e+22,3.163392617580793e+24,6.727699793016531e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ar_Cl2_EN_50.0,EN,50.0,7.345886625000276
100.0,3.017738862583215,0.004039010858873885,74776.72384798758,1093.4700874948267,9.099060547494917e+23,1.4327551029741758e+22,2.067932252692916e+24,2.783889671719493e+22,76907.72654437837,2733.1283938564397,9.844872092788335e+23,4.895949593290684e+22,2.1559985716007647e+24,5.868679884755632e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ar_Cl2_EN_100.0,EN,100.0,4.5656112500000745
150.0,3.4350916746747853,0.009036091677876088,69140.47213564986,701.5018703121939,7.14341505124859e+23,1.1687468106652756e+22,1.9760634557774092e+24,1.479495199334298e+22,72924.17283132777,2290.258933473001,7.25885817532981e+23,3.6185059428846235e+22,2.023883775919496e+24,3.9331944365875226e+22,4.0740153508417886e-19,4.138444126349124e-20,4.074140404762026e-19,4.138573127982994e-20,0.0,0.0,3.258038377711303e-19,3.258038377711303e-19,0.0,Ar_Cl2_EN_150.0,EN,150.0,6.896403457998531
200.0,3.840087812000443,0.0132434990374439,91444.05271240788,2324.1874832126505,6.893655086740613e+23,1.6640001068402148e+22,1.9426877654327132e+24,4.7872101039439505e+22,96600.83623358281,3784.5649576226456,7.59133561136774e+23,3.7775865658988986e+22,2.0019006444519793e+24,6.210412616044659e+22,7.511909383736812e-18,3.2252310833517143e-19,7.5124836718771e-18,3.2256144528967554e-19,0.0,0.0,7.71208209340934e-18,7.71208209340934e-18,0.0,Ar_Cl2_EN_200.0,EN,200.0,4.9923497079871595
250.0,3.76221119419096,0.009606372573741294,78466.72003307482,1581.9186604497356,5.286476652789957e+23,1.1720989716593299e+22,1.464925969275768e+24,2.3859117177747555e+22,87356.6884911363,3147.01915364322,5.8466805292637065e+23,2.9199655530800722e+22,1.5623306477813973e+24,3.7585114271812315e+22,1.1352243257448805e-17,4.714163201897841e-19,1.1352468825805003e-17,4.714596664627322e-19,0.0,0.0,2.8261433383022012e-18,2.8261433383022012e-18,0.0,Ar_Cl2_EN_250.0,EN,250.0,4.043031583016273
300.0,4.252698287411141,0.016141975415145202,123124.5997223684,2048.5241503278085,8.070561182140151e+23,1.4287952344884219e+22,1.723627385502753e+24,2.588879900282322e+22,115673.57316510845,4224.755013040985,7.34522430184775e+23,3.6364801035921785e+22,1.6688058297705504e+24,4.593127301109489e+22,3.1650238928252175e-17,1.9130515738044678e-18,3.1659972327290946e-17,1.9142772285450197e-18,0.0,0.0,4.059215769326316e-17,4.059215769326316e-17,0.0,Ar_Cl2_EN_300.0,EN,300.0,3.269934124982683
350.0,4.609804080923375,0.029103702534022502,154150.2750764952,1293.221606078426,9.257603208475977e+23,1.075273096376449e+22,1.9540597700203474e+24,1.1897236842501024e+22,150619.75475031533,5036.768844134481,8.741821180841902e+23,4.353475569681341e+22,1.9536193476574885e+24,4.950592497031917e+22,1.0008406455953883e-16,4.672901974222365e-18,1.0013142502160012e-16,4.6809833992976094e-18,0.0,0.0,1.4028979945318114e-16,1.4028979945318114e-16,0.0,Ar_Cl2_EN_350.0,EN,350.0,2.7449044579989277
400.0,5.2137800269547006,0.040803458134030794,184563.99476005373,3050.918261261215,1.215522121010202e+24,3.1911486350553548e+22,2.0979570878784358e+24,3.2508621368652085e+22,153068.90653198538,5617.246483201402,9.292521133177227e+23,4.64041372875047e+22,1.8692879126446482e+24,6.0091209630830064e+22,3.408227053131159e-16,1.4622853715918878e-17,3.423519184377897e-16,1.4842843899857898e-17,0.0,0.0,5.243656894362907e-16,5.243656894362907e-16,0.0,Ar_Cl2_EN_400.0,EN,400.0,3.962452250008937
450.0,5.8056900323350344,0.01922209802501471,188030.5034899326,4742.8617579382135,1.389492760717259e+24,3.6254805009604584e+22,1.9418938979465991e+24,4.171543001626967e+22,183734.9825011708,8309.59576240287,1.3565684934757758e+24,6.781001133676279e+22,2.0326221648676893e+24,7.371750271914084e+22,9.990400217996206e-16,3.140369076066895e-17,9.989110213598606e-16,3.1474381514754073e-17,0.0,0.0,1.0540788759781745e-15,1.0540788759781745e-15,0.0,Ar_Cl2_EN_450.0,EN,450.0,1.9142759169917554
500.0,6.236294918140653,0.03790023811979899,251245.88639261058,4500.81043751608,1.6370951947033827e+24,2.7047296544105575e+22,2.2715524909899054e+24,3.6618526470639404e+22,196324.23877102067,7979.069780749009,1.213222212348121e+24,6.021102762380031e+22,2.1052141592931462e+24,6.659656537446783e+22,1.677188530990422e-15,6.564428080647962e-17,1.6845619020429738e-15,6.629886908519499e-17,0.0,0.0,1.8003485815909372e-15,1.8003485815909372e-15,0.0,Ar_Cl2_EN_500.0,EN,500.0,3.4233795829932205
