step,dt,t_determine_timestep,t_determine_collisions,t_perform_collisions,t_collect_output
1,2.746499570890203e-15,0.0001016249880194664,0.01514500001212582,0.0004217499808873981,0.0003082500188611448
2,3.3922318140053422e-15,0.0002330839924979955,0.02290304101188667,0.001621624978724867,0.031181084021227434
3,3.4634839493283994e-15,0.00010887498501688242,0.025804375007282943,0.0007192920020315796,0.00038462498923763633
4,4.283935088350756e-15,8.187501225620508e-05,0.016527333995327353,0.0006679999933112413,0.00031812500674277544
5,2.71539341402738e-15,0.00017174999811686575,0.015598875004798174,0.0007577500073239207,0.0004638749815057963
6,2.6298760374379367e-15,9.541597682982683e-05,0.014472375012701377,0.0007677919929847121,0.0004616249934770167
7,1.254597108079757e-14,9.154199506156147e-05,0.015832958015380427,0.0005021669785492122,0.0005540830024983734
8,4.9991719316852364e-15,0.000167958001838997,0.013949417014373466,0.0007428329845424742,0.000303333014016971
9,5.89949971998482e-15,8.504101424477994e-05,0.011613709008088335,0.0006717910000588745,0.0024976669810712337
10,8.549529176482942e-16,0.001285291014937684,0.012082291999831796,0.0014306249795481563,0.0016737500263843685
11,2.338185930686369e-15,0.00020637499983422458,0.01157316699391231,0.0008396669873036444,0.0006722079997416586
12,3.783711516664807e-15,0.00010870801634155214,0.012571874976856634,0.001111667021177709,0.0010487909894436598
13,2.5214005765815302e-15,9.316700743511319e-05,0.016396708000684157,0.0007425420044455677,0.0002968749904539436
14,3.832113324872028e-15,8.329199044965208e-05,0.01546104100998491,0.0006841669965069741,0.00022708301548846066
15,4.1142391014148525e-15,7.154198829084635e-05,0.0150791660125833,0.0007252499926835299,0.00022566699772141874
16,8.222316801997873e-16,8.637501741759479e-05,0.012168166984338313,0.000629791000392288,0.0003085000207647681
17,1.237627669747208e-15,0.0002635830023791641,0.014046500000404194,0.0009265000117011368,0.0010927499970421195
18,2.4913220047348686e-15,0.00011629099026322365,0.013676625007065013,0.000827791984193027,0.0017660000012256205
19,3.879892791135322e-15,0.00028991702129133046,0.02163516599102877,0.0016679999826010317,0.00154958400526084
20,2.3983744392583342e-15,0.0002743749937508255,0.017118166986620054,0.0008085830195341259,0.0006565829971805215
21,2.4783060990436715e-16,9.520800085738301e-05,0.0223468329932075,0.0010942500084638596,0.0032693750108592212
22,2.5040198685905805e-15,0.00028641699464060366,0.02137541602132842,0.0005540839920286089,0.0007077080081216991
23,2.9022620457310725e-15,9.691700688563287e-05,0.026115457993000746,0.0016041249909903854,0.0011747920070774853
24,2.6281377180420644e-15,0.00010083400411531329,0.022898040973814204,0.0017188750207424164,0.0014600419963244349
25,3.492482462077081e-16,0.0002105420280713588,0.019120832992484793,0.0007883750076871365,0.00031854197732172906
26,3.873105604984579e-15,8.550001075491309e-05,0.015150291990721598,0.0006825829914305359,0.00022854201961308718
27,1.6540047851566005e-15,7.750000804662704e-05,0.017048209003405645,0.0008950000046752393,0.0002285410009790212
