step,dt,t_determine_timestep,t_determine_collisions,t_perform_collisions,t_collect_output
1,4.750448614493651e-15,0.00047116598580032587,0.019414917012909427,0.0004580829991027713,0.0003189999843016267
2,2.1063087446783415e-15,0.00029266701312735677,0.025262124981964007,0.0005748750118073076,0.00026041700039058924
3,3.2221700758850803e-15,0.0007261249993462116,0.019336041994392872,0.0010385409987065941,0.0006838339904788882
4,4.091014992658618e-15,0.00010841700714081526,0.01481208301265724,0.0005858750082552433,0.0006957089935895056
5,3.5193379900834836e-15,0.0003930410020984709,0.01149312499910593,0.0007689589983783662,0.0006686660053674132
6,5.340561304569926e-15,0.00023187499027699232,0.020105292001971975,0.0012500830052886158,0.0017682919860817492
7,4.851865252116138e-15,0.0001347909856121987,0.01589233402046375,0.0007951250008773059,0.0012862909934483469
8,4.02923260627415e-15,0.00010224999277852476,0.011231542011955753,0.002963707986054942,0.001848875021096319
9,4.769936002015309e-15,0.0001912500010803342,0.01881054198020138,0.0004951250157319009,0.0004029999836347997
10,5.987863213225819e-15,0.0002539999841246754,0.012650499993469566,0.0008925420115701854,0.0005704160139430314
11,7.155363497458064e-15,8.729202090762556e-05,0.01507933298125863,0.0005490830226335675,0.000914666976314038
12,5.97161091327284e-16,0.00012491698726080358,0.013898166012950242,0.0006434170063585043,0.0013881670020055026
13,3.156579912936273e-15,0.0001161250111181289,0.019881582993548363,0.0011975000088568777,0.002678332995856181
14,5.173456943160395e-16,0.00037858300493098795,0.018749666982330382,0.002129250002326444,0.0010689579939935356
15,3.1967375870138215e-15,8.6499989265576e-05,0.015937749994918704,0.0015174169966485351,0.0017753330175764859
16,3.828289645203049e-15,0.00033904198789969087,0.014485791994957253,0.0007085000106599182,0.00031516599119640887
17,1.2186826526022425e-15,7.462501525878906e-05,0.017833041987614706,0.0014383330126293004,0.001139500003773719
18,4.492598401893585e-15,0.00010020899935625494,0.013496916013536975,0.000531375000718981,0.0007313339738175273
19,3.14978489963975e-15,0.00016945897368714213,0.02008825002121739,0.0008227499783970416,0.0007428330136463046
20,2.053036633019171e-15,8.858399814926088e-05,0.019234833016525954,0.0006944999913685024,0.001051875005941838
21,2.342209797402267e-15,0.0001170419855043292,0.01715320799848996,0.0007891250133980066,0.0014256669965106994
